Membership_Nbr,Visit_Nbr,Item_Nbr,transaction_Date,Primary_Desc,
384163823,236702278,2838497,1/2/2000,ALL ULTRA LIQUID    ,
481856023,236708364,2838497,1/2/2000,ALL ULTRA LIQUID    ,
758702081,236936816,2838497,1/2/2000,ALL ULTRA LIQUID    ,
188954672,237300968,2838497,1/2/2000,ALL ULTRA LIQUID    ,
768192899,236692886,2838497,1/2/2000,ALL ULTRA LIQUID    ,
762926247,236707156,2838497,1/2/2000,ALL ULTRA LIQUID    ,
23973936,236693041,2838497,1/2/2000,ALL ULTRA LIQUID    ,
670258114,237289152,2838497,1/2/2000,ALL ULTRA LIQUID    ,
268246808,236920924,2838497,1/2/2000,ALL ULTRA LIQUID    ,
228256790,236914840,2838497,1/2/2000,ALL ULTRA LIQUID    ,
631533190,236924405,2838497,1/2/2000,ALL ULTRA LIQUID    ,
635437552,236705944,2782663,1/2/2000,LADIES BLAZER       ,
705175727,237292702,2838497,1/2/2000,ALL ULTRA LIQUID    ,
277074043,237294557,2838497,1/2/2000,ALL ULTRA LIQUID    ,
530923939,237294588,2838497,1/2/2000,ALL ULTRA LIQUID    ,
475020883,236707665,2838497,1/2/2000,ALL ULTRA LIQUID    ,
766158721,237295585,2782663,1/2/2000,LADIES BLAZER       ,
24077606,237293747,2838497,1/2/2000,ALL ULTRA LIQUID    ,
324294530,237292421,2838497,1/2/2000,ALL ULTRA LIQUID    ,
222796007,236715311,2782663,1/2/2000,LADIES BLAZER       ,
361420618,236914882,2838497,1/2/2000,ALL ULTRA LIQUID    ,
628747719,236707609,2838497,1/2/2000,ALL ULTRA LIQUID    ,
755472544,236898974,2838497,1/2/2000,ALL ULTRA LIQUID    ,
552693287,236693180,2838497,1/2/2000,ALL ULTRA LIQUID    ,
327730653,237293632,2838497,1/2/2000,ALL ULTRA LIQUID    ,
22145134,236716613,2838497,1/2/2000,ALL ULTRA LIQUID    ,
654178469,237491001,2838497,1/2/2000,ALL ULTRA LIQUID    ,
262817186,237293536,2838497,1/2/2000,ALL ULTRA LIQUID    ,
768184385,237280883,2838497,1/2/2000,ALL ULTRA LIQUID    ,
748281955,236898755,2838497,1/2/2000,ALL ULTRA LIQUID    ,
297653627,236898657,2838497,1/2/2000,ALL ULTRA LIQUID    ,
632212283,237290068,3151180,1/2/2000,STARBRITE PEPPERMINT,
15079561,236920439,2838497,1/2/2000,ALL ULTRA LIQUID    ,
737924267,237293800,2838497,1/2/2000,ALL ULTRA LIQUID    ,
559565379,236934252,3576117,1/2/2000,P175/65R14 81S G4S  ,
678958398,236913761,3578807,1/2/2000,FLAT FRONT PANT     ,
254670263,237299707,362694,1/2/2000,HALF & HALF QUART   ,
289591158,236708764,2838497,1/2/2000,ALL ULTRA LIQUID    ,
359875243,236897690,3151180,1/2/2000,STARBRITE PEPPERMINT,
616501015,236937193,162761,1/2/2000,NEW YORK STYLE      ,
738044933,236922181,2838497,1/2/2000,ALL ULTRA LIQUID    ,
684087624,236932925,2838497,1/2/2000,ALL ULTRA LIQUID    ,
396002926,236710108,3578807,1/2/2000,FLAT FRONT PANT     ,
768817250,236702360,2838497,1/2/2000,ALL ULTRA LIQUID    ,
709868311,237301065,2838497,1/2/2000,ALL ULTRA LIQUID    ,
4827028,236692777,3578807,1/2/2000,FLAT FRONT PANT     ,
99084460,236932914,2838497,1/2/2000,ALL ULTRA LIQUID    ,
275040847,236920767,2838497,1/2/2000,ALL ULTRA LIQUID    ,
720293581,236922666,2838497,1/2/2000,ALL ULTRA LIQUID    ,
279183462,237293737,2838497,1/2/2000,ALL ULTRA LIQUID    ,
502375325,236920004,3578807,1/2/2000,FLAT FRONT PANT     ,
738079054,236923030,2838497,1/2/2000,ALL ULTRA LIQUID    ,
714277153,236892595,162761,1/2/2000,NEW YORK STYLE      ,
367158797,236898925,2838497,1/2/2000,ALL ULTRA LIQUID    ,
270756913,236918244,3151180,1/2/2000,STARBRITE PEPPERMINT,
4827012,237296422,162761,1/2/2000,NEW YORK STYLE      ,
296598519,237300838,3151180,1/2/2000,STARBRITE PEPPERMINT,
705277449,236920512,2838497,1/2/2000,ALL ULTRA LIQUID    ,
750973202,237280944,2838497,1/2/2000,ALL ULTRA LIQUID    ,
508226861,237490816,2838497,1/2/2000,ALL ULTRA LIQUID    ,
454771927,236923853,162761,1/2/2000,NEW YORK STYLE      ,
399524654,237299995,362694,1/2/2000,HALF & HALF QUART   ,
379239132,236716539,2838497,1/2/2000,ALL ULTRA LIQUID    ,
335636702,237288959,2838497,1/2/2000,ALL ULTRA LIQUID    ,
715325183,237301301,3151180,1/2/2000,STARBRITE PEPPERMINT,
750384209,236897775,162761,1/2/2000,NEW YORK STYLE      ,
714319395,236892750,2854037,1/2/2000,GEDDES PHOTO ALBUM  ,
365808371,237300564,2838497,1/2/2000,ALL ULTRA LIQUID    ,
521457739,237289314,2838497,1/2/2000,ALL ULTRA LIQUID    ,
123749362,236716375,2838497,1/2/2000,ALL ULTRA LIQUID    ,
552680699,236692984,2838497,1/2/2000,ALL ULTRA LIQUID    ,
714090588,237277922,162761,1/2/2000,NEW YORK STYLE      ,
738095431,236708019,2838497,1/2/2000,ALL ULTRA LIQUID    ,
41487201,236706623,2838497,1/2/2000,ALL ULTRA LIQUID    ,
737401482,236920142,2838497,1/2/2000,ALL ULTRA LIQUID    ,
323865711,236706750,162761,1/2/2000,NEW YORK STYLE      ,
430092677,236692535,3578807,1/2/2000,FLAT FRONT PANT     ,
654157877,237292368,162761,1/2/2000,NEW YORK STYLE      ,
275500985,236917710,3151180,1/2/2000,STARBRITE PEPPERMINT,
749844841,236898830,162761,1/2/2000,NEW YORK STYLE      ,
393973657,236706760,2838497,1/2/2000,ALL ULTRA LIQUID    ,
760603616,236692862,2838497,1/2/2000,ALL ULTRA LIQUID    ,
361338174,236914607,2838497,1/2/2000,ALL ULTRA LIQUID    ,
391085158,236920685,2838497,1/2/2000,ALL ULTRA LIQUID    ,
486421764,236937349,162761,1/2/2000,NEW YORK STYLE      ,
262932315,236923911,3578807,1/2/2000,FLAT FRONT PANT     ,
628608542,236922867,2838497,1/2/2000,ALL ULTRA LIQUID    ,
399361725,237299983,362694,1/2/2000,HALF & HALF QUART   ,
679000574,237490357,2838497,1/2/2000,ALL ULTRA LIQUID    ,
348322158,236923960,2838497,1/2/2000,ALL ULTRA LIQUID    ,
289664493,236924022,2838497,1/2/2000,ALL ULTRA LIQUID    ,
23974109,236707256,2838497,1/2/2000,ALL ULTRA LIQUID    ,
287510459,236927449,3151180,1/2/2000,STARBRITE PEPPERMINT,
356174111,236936782,2838497,1/2/2000,ALL ULTRA LIQUID    ,
458958271,236708663,3151180,1/2/2000,STARBRITE PEPPERMINT,
376933512,237299783,362694,1/2/2000,HALF & HALF QUART   ,
276705534,236921784,2838497,1/2/2000,ALL ULTRA LIQUID    ,
705113333,236706160,3151180,1/2/2000,STARBRITE PEPPERMINT,
396967210,236715242,362694,1/2/2000,HALF & HALF QUART   ,
377521837,236706033,2838497,1/2/2000,ALL ULTRA LIQUID    ,
747219988,237280909,162761,1/2/2000,NEW YORK STYLE      ,
658982831,236926180,3578807,1/2/2000,FLAT FRONT PANT     ,
289820155,237294619,2838497,1/2/2000,ALL ULTRA LIQUID    ,
684192100,236932901,2838497,1/2/2000,ALL ULTRA LIQUID    ,
543776680,236708117,162761,1/2/2000,NEW YORK STYLE      ,
727758526,236708260,162761,1/2/2000,NEW YORK STYLE      ,
10276230,236926914,3578807,1/2/2000,FLAT FRONT PANT     ,
701885505,237292082,2838497,1/2/2000,ALL ULTRA LIQUID    ,
18030405,236937234,162761,1/2/2000,NEW YORK STYLE      ,
709904604,237300756,2838497,1/2/2000,ALL ULTRA LIQUID    ,
12122052,236898953,2838497,1/2/2000,ALL ULTRA LIQUID    ,
633264364,236897683,3151180,1/2/2000,STARBRITE PEPPERMINT,
468034442,236914891,2838497,1/2/2000,ALL ULTRA LIQUID    ,
352221646,237298776,2838497,1/2/2000,ALL ULTRA LIQUID    ,
270974406,236918105,162761,1/2/2000,NEW YORK STYLE      ,
326441342,237292719,162761,1/2/2000,NEW YORK STYLE      ,
402535969,236934440,362694,1/2/2000,HALF & HALF QUART   ,
17809355,236923947,2838497,1/2/2000,ALL ULTRA LIQUID    ,
290365900,236704715,2838497,1/2/2000,ALL ULTRA LIQUID    ,
654242563,236920030,2838497,1/2/2000,ALL ULTRA LIQUID    ,
753788970,236693286,2838497,1/2/2000,ALL ULTRA LIQUID    ,
196881858,236707283,2838497,1/2/2000,ALL ULTRA LIQUID    ,
314536758,236921873,2838497,1/2/2000,ALL ULTRA LIQUID    ,
678997057,237288995,162761,1/2/2000,NEW YORK STYLE      ,
377413101,237298940,2838497,1/2/2000,ALL ULTRA LIQUID    ,
629914649,236937067,3578807,1/2/2000,FLAT FRONT PANT     ,
324310214,237289020,3576117,1/2/2000,P175/65R14 81S G4S  ,
368772636,236707705,2838497,1/2/2000,ALL ULTRA LIQUID    ,
439710512,236920150,2838497,1/2/2000,ALL ULTRA LIQUID    ,
628710289,236922215,2838497,1/2/2000,ALL ULTRA LIQUID    ,
265854827,237293409,3151180,1/2/2000,STARBRITE PEPPERMINT,
6739934,236936231,2838497,1/2/2000,ALL ULTRA LIQUID    ,
748482833,236899149,2838497,1/2/2000,ALL ULTRA LIQUID    ,
640842887,236898546,3578807,1/2/2000,FLAT FRONT PANT     ,
85433116,237296476,162761,1/2/2000,NEW YORK STYLE      ,
684173537,236713953,3578807,1/2/2000,FLAT FRONT PANT     ,
738033522,236707940,2838497,1/2/2000,ALL ULTRA LIQUID    ,
632461813,236704855,2838497,1/2/2000,ALL ULTRA LIQUID    ,
16166068,236920379,2838497,1/2/2000,ALL ULTRA LIQUID    ,
377037387,236715020,362694,1/2/2000,HALF & HALF QUART   ,
397018460,237300073,3151180,1/2/2000,STARBRITE PEPPERMINT,
13002303,236693101,162761,1/2/2000,NEW YORK STYLE      ,
631743682,236917693,2838497,1/2/2000,ALL ULTRA LIQUID    ,
703288343,236715349,362694,1/2/2000,HALF & HALF QUART   ,
588741761,236704966,2838497,1/2/2000,ALL ULTRA LIQUID    ,
632609422,236706394,2838497,1/2/2000,ALL ULTRA LIQUID    ,
632145680,236913535,2838497,1/2/2000,ALL ULTRA LIQUID    ,
279351356,237293738,2838497,1/2/2000,ALL ULTRA LIQUID    ,
764002015,236716523,2838497,1/2/2000,ALL ULTRA LIQUID    ,
366008591,236717242,3151180,1/2/2000,STARBRITE PEPPERMINT,
705111046,236920408,2838497,1/2/2000,ALL ULTRA LIQUID    ,
654249137,236701991,2838497,1/2/2000,ALL ULTRA LIQUID    ,
753798185,236898849,2838497,1/2/2000,ALL ULTRA LIQUID    ,
632148593,236702249,3578807,1/2/2000,FLAT FRONT PANT     ,
376900464,237300077,362694,1/2/2000,HALF & HALF QUART   ,
443523290,236934327,162761,1/2/2000,NEW YORK STYLE      ,
706501196,237290271,2838497,1/2/2000,ALL ULTRA LIQUID    ,
290312292,236924232,2838497,1/2/2000,ALL ULTRA LIQUID    ,
399386341,236934945,3151180,1/2/2000,STARBRITE PEPPERMINT,
631708629,236708247,3578807,1/2/2000,FLAT FRONT PANT     ,
748281086,236898872,2838497,1/2/2000,ALL ULTRA LIQUID    ,
454734025,237294387,162761,1/2/2000,NEW YORK STYLE      ,
628702790,236707847,2838497,1/2/2000,ALL ULTRA LIQUID    ,
367573243,236936441,2838497,1/2/2000,ALL ULTRA LIQUID    ,
6869400,236922684,2838497,1/2/2000,ALL ULTRA LIQUID    ,
368762911,236922862,2838497,1/2/2000,ALL ULTRA LIQUID    ,
376852636,236715354,162761,1/2/2000,NEW YORK STYLE      ,
521496638,236913696,162761,1/2/2000,NEW YORK STYLE      ,
279335864,236707791,3151180,1/2/2000,STARBRITE PEPPERMINT,
276984581,237294454,2838497,1/2/2000,ALL ULTRA LIQUID    ,
205838412,236937003,2838497,1/2/2000,ALL ULTRA LIQUID    ,
268406611,236920511,2838497,1/2/2000,ALL ULTRA LIQUID    ,
684178967,237491580,2838497,1/2/2000,ALL ULTRA LIQUID    ,
684231305,237491549,3151180,1/2/2000,STARBRITE PEPPERMINT,
352218835,236932446,2838497,1/2/2000,ALL ULTRA LIQUID    ,
397030041,237299844,162761,1/2/2000,NEW YORK STYLE      ,
726092795,236899139,2838497,1/2/2000,ALL ULTRA LIQUID    ,
275110082,236920942,2854037,1/2/2000,GEDDES PHOTO ALBUM  ,
289599435,237294614,3578807,1/2/2000,FLAT FRONT PANT     ,
336832812,237293471,3151180,1/2/2000,STARBRITE PEPPERMINT,
265844158,237491057,2838497,1/2/2000,ALL ULTRA LIQUID    ,
18338955,237294607,2838497,1/2/2000,ALL ULTRA LIQUID    ,
484019183,236937191,3578807,1/2/2000,FLAT FRONT PANT     ,
468077359,237290108,2838497,1/2/2000,ALL ULTRA LIQUID    ,
379726692,236937008,2838497,1/2/2000,ALL ULTRA LIQUID    ,
399314585,236934822,362694,1/2/2000,HALF & HALF QUART   ,
274876590,237292475,2838497,1/2/2000,ALL ULTRA LIQUID    ,
631776691,236917881,2838497,1/2/2000,ALL ULTRA LIQUID    ,
484026014,236717324,3578807,1/2/2000,FLAT FRONT PANT     ,
256400113,236898450,3578807,1/2/2000,FLAT FRONT PANT     ,
748810357,236898617,2838497,1/2/2000,ALL ULTRA LIQUID    ,
149688485,236936337,3151180,1/2/2000,STARBRITE PEPPERMINT,
467952048,236914950,2838497,1/2/2000,ALL ULTRA LIQUID    ,
575548128,236706437,2838497,1/2/2000,ALL ULTRA LIQUID    ,
368809954,236922993,2838497,1/2/2000,ALL ULTRA LIQUID    ,
621123176,236706581,162761,1/2/2000,NEW YORK STYLE      ,
289428946,236924410,2838497,1/2/2000,ALL ULTRA LIQUID    ,
709904604,237300758,2838497,1/2/2000,ALL ULTRA LIQUID    ,
343067934,236923781,162761,1/2/2000,NEW YORK STYLE      ,
738973131,236914620,2838497,1/2/2000,ALL ULTRA LIQUID    ,
256220421,236898454,3578807,1/2/2000,FLAT FRONT PANT     ,
744068307,236692495,162761,1/2/2000,NEW YORK STYLE      ,
668906706,236899058,162761,1/2/2000,NEW YORK STYLE      ,
397003271,237300011,162761,1/2/2000,NEW YORK STYLE      ,
399461606,236715069,162761,1/2/2000,NEW YORK STYLE      ,
758505063,236898786,3578807,1/2/2000,FLAT FRONT PANT     ,
342974212,237491190,162761,1/2/2000,NEW YORK STYLE      ,
483889964,236937196,162761,1/2/2000,NEW YORK STYLE      ,
295209260,236917737,3578807,1/2/2000,FLAT FRONT PANT     ,
274387688,237289256,2838497,1/2/2000,ALL ULTRA LIQUID    ,
347691049,236707294,2838497,1/2/2000,ALL ULTRA LIQUID    ,
628694763,236707954,2838497,1/2/2000,ALL ULTRA LIQUID    ,
270782436,236918238,2838497,1/2/2000,ALL ULTRA LIQUID    ,
467998920,237290048,2838497,1/2/2000,ALL ULTRA LIQUID    ,
262687537,236702997,2838497,1/2/2000,ALL ULTRA LIQUID    ,
327281103,236934431,362694,1/2/2000,HALF & HALF QUART   ,
575517572,236920344,2838497,1/2/2000,ALL ULTRA LIQUID    ,
290237389,236918155,2838497,1/2/2000,ALL ULTRA LIQUID    ,
714056143,237278000,162761,1/2/2000,NEW YORK STYLE      ,
762729121,236914705,3578807,1/2/2000,FLAT FRONT PANT     ,
748480705,236898696,162761,1/2/2000,NEW YORK STYLE      ,
268375152,236920719,2838497,1/2/2000,ALL ULTRA LIQUID    ,
379726692,236937006,2838497,1/2/2000,ALL ULTRA LIQUID    ,
746592657,237280744,162761,1/2/2000,NEW YORK STYLE      ,
631766898,237291542,2838497,1/2/2000,ALL ULTRA LIQUID    ,
254879249,236934565,3151180,1/2/2000,STARBRITE PEPPERMINT,
269046339,236708724,2838497,1/2/2000,ALL ULTRA LIQUID    ,
289660054,236924468,2838497,1/2/2000,ALL ULTRA LIQUID    ,
705205163,236706751,3578807,1/2/2000,FLAT FRONT PANT     ,
737990400,236922406,3578807,1/2/2000,FLAT FRONT PANT     ,
384110668,236913391,2838497,1/2/2000,ALL ULTRA LIQUID    ,
521485467,236913348,2838497,1/2/2000,ALL ULTRA LIQUID    ,
454835531,236923626,162761,1/2/2000,NEW YORK STYLE      ,
13002303,236693101,162761,1/2/2000,NEW YORK STYLE      ,
632768234,236707694,2838497,1/2/2000,ALL ULTRA LIQUID    ,
394071835,236706693,2838497,1/2/2000,ALL ULTRA LIQUID    ,
274995142,236920615,2838497,1/2/2000,ALL ULTRA LIQUID    ,
632619421,236706787,2838497,1/2/2000,ALL ULTRA LIQUID    ,
165464470,236936277,2838497,1/2/2000,ALL ULTRA LIQUID    ,
189981931,236932844,2838497,1/2/2000,ALL ULTRA LIQUID    ,
738034007,236922956,2838497,1/2/2000,ALL ULTRA LIQUID    ,
632609346,236706537,2838497,1/2/2000,ALL ULTRA LIQUID    ,
515371887,236936801,2838497,1/2/2000,ALL ULTRA LIQUID    ,
377493976,237490914,2838497,1/2/2000,ALL ULTRA LIQUID    ,
289538623,236924279,2838497,1/2/2000,ALL ULTRA LIQUID    ,
279270128,236707913,2838497,1/2/2000,ALL ULTRA LIQUID    ,
727774638,236923566,3576117,1/2/2000,P175/65R14 81S G4S  ,
361717495,236923985,2838497,1/2/2000,ALL ULTRA LIQUID    ,
583663953,236708777,2838497,1/2/2000,ALL ULTRA LIQUID    ,
366001315,237301191,162761,1/2/2000,NEW YORK STYLE      ,
632215542,236914865,2838497,1/2/2000,ALL ULTRA LIQUID    ,
81982077,236935898,2838497,1/2/2000,ALL ULTRA LIQUID    ,
365806763,236935934,2838497,1/2/2000,ALL ULTRA LIQUID    ,
268445599,236920590,162761,1/2/2000,NEW YORK STYLE      ,
521501490,237289396,162761,1/2/2000,NEW YORK STYLE      ,
15095591,237291696,2838497,1/2/2000,ALL ULTRA LIQUID    ,
714235813,236690606,162761,1/2/2000,NEW YORK STYLE      ,
15496491,237292884,2854037,1/2/2000,GEDDES PHOTO ALBUM  ,
364883570,237294666,2838497,1/2/2000,ALL ULTRA LIQUID    ,
678994212,237289070,2838497,1/2/2000,ALL ULTRA LIQUID    ,
316410242,236716421,2838497,1/2/2000,ALL ULTRA LIQUID    ,
279274245,236923129,2838497,1/2/2000,ALL ULTRA LIQUID    ,
394037810,236920788,2838497,1/2/2000,ALL ULTRA LIQUID    ,
397101876,237299957,159671,1/2/2000,KENT GOLDEN LTS KING,
511578488,236702884,734683,1/2/2000,NYLON SQUALL JACKET ,
368664430,236707733,3151180,1/2/2000,STARBRITE PEPPERMINT,
361386676,236914724,734683,1/2/2000,NYLON SQUALL JACKET ,
436455256,236710022,184845,1/2/2000,HOT DOG/CHIPS       ,
631692144,236923900,121880,1/2/2000,M&M'S PEANUT BUTTER ,
244415001,236923261,3151180,1/2/2000,STARBRITE PEPPERMINT,
387729231,236898267,3554243,1/2/2000,THE WATERBOY        ,
399175670,236934645,184845,1/2/2000,HOT DOG/CHIPS       ,
511569711,236701958,121880,1/2/2000,M&M'S PEANUT BUTTER ,
709993795,236716387,184845,1/2/2000,HOT DOG/CHIPS       ,
24088860,237294604,3151180,1/2/2000,STARBRITE PEPPERMINT,
468020064,237289942,734683,1/2/2000,NYLON SQUALL JACKET ,
293541044,237296470,3151180,1/2/2000,STARBRITE PEPPERMINT,
276692770,236921697,3151180,1/2/2000,STARBRITE PEPPERMINT,
679069221,236913447,184845,1/2/2000,HOT DOG/CHIPS       ,
543861573,236923642,734683,1/2/2000,NYLON SQUALL JACKET ,
276914828,236923504,121880,1/2/2000,M&M'S PEANUT BUTTER ,
399175670,236934949,184845,1/2/2000,HOT DOG/CHIPS       ,
265703192,236921765,184845,1/2/2000,HOT DOG/CHIPS       ,
376922144,236934201,3151180,1/2/2000,STARBRITE PEPPERMINT,
365802306,236936160,121880,1/2/2000,M&M'S PEANUT BUTTER ,
632861838,236923556,3151180,1/2/2000,STARBRITE PEPPERMINT,
265703192,236921853,184845,1/2/2000,HOT DOG/CHIPS       ,
654196075,237292200,184845,1/2/2000,HOT DOG/CHIPS       ,
343012592,236923237,3554243,1/2/2000,THE WATERBOY        ,
377401594,237298773,3151180,1/2/2000,STARBRITE PEPPERMINT,
268242245,236920916,734683,1/2/2000,NYLON SQUALL JACKET ,
356175729,237300798,121880,1/2/2000,M&M'S PEANUT BUTTER ,
436404364,236709885,3151180,1/2/2000,STARBRITE PEPPERMINT,
659081030,236710064,734683,1/2/2000,NYLON SQUALL JACKET ,
748269885,236898605,184845,1/2/2000,HOT DOG/CHIPS       ,
324257817,236920026,3483044,1/2/2000,GRADE SCHOOL SYSTEM ,
632190941,237292143,3483044,1/2/2000,GRADE SCHOOL SYSTEM ,
628636500,236923014,3151180,1/2/2000,STARBRITE PEPPERMINT,
289749707,236708634,184845,1/2/2000,HOT DOG/CHIPS       ,
212248664,236936226,121880,1/2/2000,M&M'S PEANUT BUTTER ,
265668675,236921650,734683,1/2/2000,NYLON SQUALL JACKET ,
738032003,237293606,184845,1/2/2000,HOT DOG/CHIPS       ,
356339615,237301085,734683,1/2/2000,NYLON SQUALL JACKET ,
460795853,237289375,121880,1/2/2000,M&M'S PEANUT BUTTER ,
274441766,237289222,3151180,1/2/2000,STARBRITE PEPPERMINT,
766847380,237490521,121880,1/2/2000,M&M'S PEANUT BUTTER ,
709993795,237300689,184845,1/2/2000,HOT DOG/CHIPS       ,
336822013,236921928,734683,1/2/2000,NYLON SQUALL JACKET ,
753651715,236898154,184845,1/2/2000,HOT DOG/CHIPS       ,
399175670,236715281,184845,1/2/2000,HOT DOG/CHIPS       ,
748269885,236898628,184845,1/2/2000,HOT DOG/CHIPS       ,
141830929,237296295,3151180,1/2/2000,STARBRITE PEPPERMINT,
354808880,236934534,121880,1/2/2000,M&M'S PEANUT BUTTER ,
21145439,236924049,3554243,1/2/2000,THE WATERBOY        ,
684095502,237298790,121880,1/2/2000,M&M'S PEANUT BUTTER ,
14335270,236926507,3554243,1/2/2000,THE WATERBOY        ,
635452897,236706024,3151180,1/2/2000,STARBRITE PEPPERMINT,
343214477,237294014,3554243,1/2/2000,THE WATERBOY        ,
289749707,236924362,184845,1/2/2000,HOT DOG/CHIPS       ,
729864372,237289971,734683,1/2/2000,NYLON SQUALL JACKET ,
4827012,236706016,734683,1/2/2000,NYLON SQUALL JACKET ,
8792914,236710128,3554243,1/2/2000,THE WATERBOY        ,
705282482,236706768,184845,1/2/2000,HOT DOG/CHIPS       ,
25790759,236936668,734683,1/2/2000,NYLON SQUALL JACKET ,
687443515,236937509,184845,1/2/2000,HOT DOG/CHIPS       ,
265703192,236921733,184845,1/2/2000,HOT DOG/CHIPS       ,
265703192,236921930,184845,1/2/2000,HOT DOG/CHIPS       ,
709993795,236936440,184845,1/2/2000,HOT DOG/CHIPS       ,
632069838,237289131,734683,1/2/2000,NYLON SQUALL JACKET ,
748269885,236693007,184845,1/2/2000,HOT DOG/CHIPS       ,
687443515,236716892,184845,1/2/2000,HOT DOG/CHIPS       ,
628655599,236707611,3151180,1/2/2000,STARBRITE PEPPERMINT,
364975815,236924395,3151180,1/2/2000,STARBRITE PEPPERMINT,
632566966,236919292,734683,1/2/2000,NYLON SQUALL JACKET ,
714318627,236893227,3151180,1/2/2000,STARBRITE PEPPERMINT,
521502990,236913646,3483044,1/2/2000,GRADE SCHOOL SYSTEM ,
679069221,236914004,184845,1/2/2000,HOT DOG/CHIPS       ,
632603051,236920146,734683,1/2/2000,NYLON SQUALL JACKET ,
687443515,236937672,184845,1/2/2000,HOT DOG/CHIPS       ,
654196075,236705883,184845,1/2/2000,HOT DOG/CHIPS       ,
759860002,237280500,121880,1/2/2000,M&M'S PEANUT BUTTER ,
679069221,236702110,184845,1/2/2000,HOT DOG/CHIPS       ,
577448797,236932902,734683,1/2/2000,NYLON SQUALL JACKET ,
748269885,236693080,184845,1/2/2000,HOT DOG/CHIPS       ,
265703192,236921725,184845,1/2/2000,HOT DOG/CHIPS       ,
208735680,236921847,121880,1/2/2000,M&M'S PEANUT BUTTER ,
478710514,236920544,734683,1/2/2000,NYLON SQUALL JACKET ,
289749707,236708615,184845,1/2/2000,HOT DOG/CHIPS       ,
753651715,236692635,184845,1/2/2000,HOT DOG/CHIPS       ,
265703192,236922155,184845,1/2/2000,HOT DOG/CHIPS       ,
705282482,236920257,184845,1/2/2000,HOT DOG/CHIPS       ,
344130226,236921982,3483044,1/2/2000,GRADE SCHOOL SYSTEM ,
8579064,236897846,734683,1/2/2000,NYLON SQUALL JACKET ,
714230358,236892615,184845,1/2/2000,HOT DOG/CHIPS       ,
575512869,236920623,121880,1/2/2000,M&M'S PEANUT BUTTER ,
709993795,236936159,184845,1/2/2000,HOT DOG/CHIPS       ,
15597826,236898437,2595432,1/2/2000,DIET COKE           ,
687443515,236937321,184845,1/2/2000,HOT DOG/CHIPS       ,
752064239,236898766,3151180,1/2/2000,STARBRITE PEPPERMINT,
620838229,236709706,121880,1/2/2000,M&M'S PEANUT BUTTER ,
714230358,236892875,184845,1/2/2000,HOT DOG/CHIPS       ,
265571150,237293459,3151180,1/2/2000,STARBRITE PEPPERMINT,
20307108,236936775,734683,1/2/2000,NYLON SQUALL JACKET ,
271735038,236923213,3151180,1/2/2000,STARBRITE PEPPERMINT,
632645340,236921060,3151180,1/2/2000,STARBRITE PEPPERMINT,
714230358,236892960,184845,1/2/2000,HOT DOG/CHIPS       ,
336891710,237293429,121880,1/2/2000,M&M'S PEANUT BUTTER ,
631720584,236704707,3151180,1/2/2000,STARBRITE PEPPERMINT,
276817784,236708142,3151180,1/2/2000,STARBRITE PEPPERMINT,
265703192,236707317,184845,1/2/2000,HOT DOG/CHIPS       ,
